val1,val2,val3,val4,val5,val6
0.93791,0.74178,0.98081,0.73303,1.01073,0.92962
0.88569,1.19341,1.04237,1.04236,1.5554,0.79313
1.25005,0.56315,0.95829,1.18516,0.5394,0.80535
1.04111,1.14667,1.34252,0.90334,2.4751,1.06855
1.03306,1.08679,0.9119,0.78634,0.87982,0.96816
0.81796,0.74391,0.73296,1.17607,0.90496,0.84297
0.84601,1.18091,0.81386,1.18856,0.87526,1.04826
1.21885,1.3193,1.33714,1.56953,0.88055,1.34145
1.07466,1.29309,1.33084,1.65168,1.54022,1.02394
0.79359,0.65219,0.53743,0.6819,0.5243,0.80738
1.22553,1.58552,1.47914,0.94169,2.17503,1.51299
0.79296,1.15037,0.73553,1.07039,0.78384,0.72558
0.9269,0.73937,0.76137,1.04761,0.69736,0.89631
1.39952,1.1959,1.29538,0.61402,1.25572,1.2931
0.01278,0.02053,0.01848,0.03393,0.02692,0.0327
